1880 -0.3 -0.4 -0.2 -0.3 -0.2 -0.4 -0.3 -0.2 -0.3 -0.4 -0.4 -0.3
1881 -0.4 -0.3 0.1 0.1 0.1 -0.3 0.0 -0.1 -0.3 -0.4 -0.3 -0.1
1882 0.3 0.3 0.1 -0.3 -0.3 -0.4 -0.3 -0.1 -0.3 -0.4 -0.3 -0.6
1883 -0.5 -0.7 -0.2 -0.3 -0.3 -0.1 -0.1 -0.3 -0.4 -0.2 -0.4 -0.2
1884 -0.2 -0.1 -0.6 -0.7 -0.6 -0.6 -0.5 -0.5 -0.5 -0.5 -0.6 -0.5
1885 -1.0 -0.6 -0.5 -0.8 -0.8 -0.8 -0.6 -0.6 -0.5 -0.4 -0.4 -0.2
1886 -0.8 -0.9 -0.8 -0.5 -0.4 -0.6 -0.3 -0.6 -0.4 -0.5 -0.5 -0.5
1887 -1.3 -1.0 -0.6 -0.6 -0.6 -0.5 -0.5 -0.6 -0.5 -0.6 -0.5 -0.6
1888 -0.6 -0.6 -0.7 -0.4 -0.4 -0.3 -0.2 -0.3 -0.2 0.0 0.1 -0.1
1889 -0.2 0.3 0.1 0.2 -0.0 -0.2 -0.1 -0.4 -0.4 -0.5 -0.6 -0.5
1890 -0.8 -0.8 -0.7 -0.5 -0.7 -0.5 -0.5 -0.7 -0.6 -0.5 -0.8 -0.6
1891 -0.6 -0.8 -0.3 -0.5 -0.3 -0.4 -0.3 -0.3 -0.3 -0.4 -0.6 -0.1
1892 -0.5 -0.2 -0.7 -0.6 -0.4 -0.4 -0.6 -0.5 -0.3 -0.3 -0.8 -0.7
1893 -1.4 -1.0 -0.4 -0.5 -0.6 -0.5 -0.2 -0.5 -0.4 -0.3 -0.3 -0.6
1894 -1.0 -0.6 -0.4 -0.8 -0.6 -0.7 -0.5 -0.5 -0.5 -0.4 -0.5 -0.4
1895 -0.8 -0.8 -0.6 -0.4 -0.5 -0.4 -0.3 -0.3 -0.2 -0.2 -0.3 -0.3
1896 -0.4 -0.2 -0.5 -0.5 -0.3 -0.2 -0.0 -0.1 -0.1 0.1 -0.1 -0.1
1897 -0.3 -0.3 -0.2 -0.0 -0.0 -0.2 -0.0 -0.2 -0.1 -0.2 -0.3 -0.4
1898 -0.0 -0.5 -0.9 -0.6 -0.5 -0.3 -0.4 -0.5 -0.4 -0.6 -0.7 -0.4
1899 -0.3 -0.7 -0.6 -0.4 -0.4 -0.6 -0.3 -0.1 -0.1 -0.1 0.2 -0.5
1900 -0.6 -0.1 0.0 -0.1 -0.1 -0.2 -0.2 -0.1 -0.1 0.2 -0.1 -0.1
1901 -0.4 -0.2 0.1 -0.1 -0.3 -0.2 -0.3 -0.4 -0.4 -0.5 -0.3 -0.5
1902 -0.3 -0.2 -0.5 -0.5 -0.6 -0.6 -0.5 -0.5 -0.5 -0.5 -0.6 -0.7
1903 -0.4 -0.1 -0.4 -0.7 -0.7 -0.8 -0.6 -0.8 -0.9 -0.8 -0.7 -0.9
1904 -1.1 -1.0 -0.9 -0.9 -0.9 -0.9 -0.9 -0.9 -1.0 -0.7 -0.3 -0.6
